source,dim_name,dim_desc
directask,Cognitive Demand,Rating on a scale from 1 (minimal cognitive effort) to 5 (extreme cognitive effort) based on the mental intensity of the task
directask,Innovativeness,Number of novel solutions or approaches required to successfully complete the task
directask,Complexity,Number of distinct steps or components required to complete the task.
directask,Interdependence,"Scale from 0 (completely independent tasks) to 1 (completely interdependent tasks), measuring the extent to which team members' tasks are interconnected."
directask,Diversity of Skills Required,Variety index based on the number of different skills or expertise areas necessary to perform the task.
directask,Uncertainty,"Scale from 0 (no uncertainty, outcome is predictable) to 1 (high uncertainty, outcome is unpredictable), indicating the level of unpredictability associated with the task's process and outcome."
directask,Time Pressure,Measured as the inverse of the amount of time available to complete the task relative to the estimated time normally required.
directask,Goal Clarity,"Scale from 0 (goals are ambiguous and not clearly defined) to 1 (goals are explicit and clearly defined), representing the clarity of task objectives."
directask,Information Load,Quantified as the amount of information units that need to be processed per unit of time during the task.
directask,Task Novelty,"Scale from 0 (task is routine and familiar) to 1 (task is novel and unfamiliar), indicating the degree of novelty of the task to the team members."
directask,Physical Demand,"Measured by the average metabolic equivalent (MET) required to perform the task, indicating the level of physical effort."
directask,Coordination Demand,"Scale from 0 (no coordination required) to 1 (extensive coordination required), reflecting the level of coordination necessary among team members to complete the task."
directask,Complexity,"The number of distinct elements and the interactivity among these elements within the task, 'measure': 'Element Count: The total number of distinct elements (e.g., steps, variables, decisions) involved in a task. Interactivity Index: A score from 1 (low) to 5 (high) indicating the degree of interdependence among elements"
directask,Uncertainty,"The unpredictability associated with the outcome of the task, 'measure': 'Uncertainty Score: A score from 1 (low) to 5 (high) based on the variability of outcomes given the same input or process"
directask,Duration,"The length of time required to complete the task, 'measure': 'Time in Minutes: The average time taken to complete the task, measured in minutes"
directask,Novelty,"The degree to which the task is new or unfamiliar to the team, 'measure': Novelty Rating: A score from 1 (familiar) to 5 (novel) based on team members' self-reported familiarity with the task."
directask,Coordination Demand,"The extent to which the task requires team members to work interdependently, 'measure': 'Coordination Index: A score from 1 (low) to 5 (high) reflecting the level of coordination required among team members to successfully complete the task"
directask,Cognitive Load,"The mental effort required to perform the task, 'measure': 'Cognitive Load Scale: A score from 1 (low) to 5 (high) based on subjective assessment of mental effort required, using standardized cognitive load measurement instruments"
directask,Physical Demand,"The physical effort required to perform the task, 'measure': 'Physical Demand Scale: A score from 1 (low) to 5 (high) based on subjective assessment of physical effort required"
directask,Skill Variety,"The range of skills and abilities required to perform the task, 'measure': 'Skill Diversity Index: The number of distinct skills and abilities required to perform the task effectively"
directask,Goal Clarity,"The degree to which the goals of the task are clearly defined and understood, 'measure': Goal Clarity Score: A score from 1 (ambiguous) to 5 (clear) indicating the clarity of the task's goals."
directask,Feedback Loop,"The mechanism by which information about performance is returned to the team, 'measure': 'Feedback Frequency: The average number of feedback instances per task. Feedback Timeliness: The average time in minutes from task action to feedback"
directask,Cognitive Complexity,"A numerical score based on the number of distinct cognitive processes required (e.g., memory recall, logical reasoning, decision-making), the number of decision points, and the level of abstraction involved in the task"
directask,Interdependence Level,"A scale from 0 to 1 where 0 represents completely independent tasks and 1 represents tasks that cannot be completed without constant team interaction, measured by the frequency and necessity of communication among team members"
directask,Temporal Dynamics,"A measure of the task's time sensitivity, quantified by the ratio of the time spent on active task engagement to the total time allotted for task completion."
directask,Innovation Requirement,"A score derived from the necessity for creative problem-solving and generation of novel ideas, rated by experts in the field on a scale from 1 (no innovation needed) to 10 (highly innovative)"
directask,Physical Coordination,"A metric based on the number and complexity of physical actions required by the team, the precision needed, and the degree of synchronization, measured on a scale from 1 (minimal coordination) to 10 (extensive coordination)"
directask,Environmental Variability,"A variability index calculated by the number of external variables that can affect task performance (e.g., changing tools, shifting workspaces), with higher scores indicating greater variability"
directask,Resource Constraints,"A constraint score based on the scarcity of resources (e.g., time, information, tools, personnel) necessary for task completion, with higher scores indicating tighter constraints"
directask,Stress Level,"A stress index measured by physiological responses (e.g., heart rate, cortisol levels) of team members during task performance or by self-reported stress levels on a standardized scale"
directask,Learning Curve,"A learning index calculated by the rate of performance improvement over time, with higher values indicating a steeper learning curve"
directask,Outcome Measurability,"A measurability score based on the clarity and objectivity of the outcome assessment criteria, ranging from 1 (subjective or unclear criteria) to 10 (objective and clear criteria)"
